dataId,modelName,expMethod,instanceId,pred
wine_quality,mlp,__prediction_only__,56,0
wine_quality,mlp,__prediction_only__,1017,0
wine_quality,mlp,__prediction_only__,1364,0
wine_quality,mlp,__prediction_only__,1544,1
wine_quality,mlp,__prediction_only__,1419,0
wine_quality,mlp,__prediction_only__,786,0
wine_quality,mlp,__prediction_only__,757,0
wine_quality,mlp,__prediction_only__,702,0
wine_quality,mlp,__prediction_only__,522,0
wine_quality,mlp,__prediction_only__,805,1
wine_quality,mlp,__prediction_only__,464,0
wine_quality,mlp,__prediction_only__,986,0
wine_quality,mlp,__prediction_only__,285,0
wine_quality,mlp,__prediction_only__,769,0
wine_quality,mlp,__prediction_only__,956,0
wine_quality,mlp,__prediction_only__,345,0
wine_quality,mlp,__prediction_only__,621,0
wine_quality,mlp,__prediction_only__,1202,1
wine_quality,mlp,__prediction_only__,226,0
wine_quality,mlp,__prediction_only__,368,0
wine_quality,mlp,__prediction_only__,191,0
wine_quality,mlp,__prediction_only__,1032,0
wine_quality,mlp,__prediction_only__,159,0
wine_quality,mlp,__prediction_only__,31,0
wine_quality,mlp,__prediction_only__,336,1
wine_quality,mlp,__prediction_only__,353,0
wine_quality,mlp,__prediction_only__,1129,0
wine_quality,mlp,__prediction_only__,514,1
wine_quality,mlp,__prediction_only__,969,0
wine_quality,mlp,__prediction_only__,1371,0
wine_quality,mlp,__prediction_only__,499,0
wine_quality,mlp,__prediction_only__,1422,0
wine_quality,mlp,__prediction_only__,355,0
wine_quality,mlp,__prediction_only__,198,1
wine_quality,mlp,__prediction_only__,1571,0
wine_quality,mlp,__prediction_only__,101,0
wine_quality,mlp,__prediction_only__,497,0
wine_quality,mlp,__prediction_only__,1541,0
wine_quality,mlp,__prediction_only__,68,0
wine_quality,mlp,__prediction_only__,1100,1
wine_quality,mlp,__prediction_only__,968,0
wine_quality,mlp,__prediction_only__,936,0
wine_quality,mlp,__prediction_only__,1431,0
wine_quality,mlp,__prediction_only__,1454,0
wine_quality,mlp,__prediction_only__,1393,0
wine_quality,mlp,__prediction_only__,1503,0
wine_quality,mlp,__prediction_only__,951,1
wine_quality,mlp,__prediction_only__,246,0
wine_quality,mlp,__prediction_only__,184,0
wine_quality,mlp,__prediction_only__,1101,0
wine_quality,mlp,__prediction_only__,740,0
wine_quality,mlp,__prediction_only__,60,0
wine_quality,mlp,__prediction_only__,527,0
wine_quality,mlp,__prediction_only__,1158,0
wine_quality,mlp,__prediction_only__,85,0
wine_quality,mlp,__prediction_only__,1396,0
wine_quality,mlp,__prediction_only__,1575,0
wine_quality,mlp,__prediction_only__,1132,1
wine_quality,mlp,__prediction_only__,1284,0
wine_quality,mlp,__prediction_only__,820,0
wine_quality,mlp,__prediction_only__,807,1
wine_quality,mlp,__prediction_only__,500,0
wine_quality,mlp,__prediction_only__,942,0
wine_quality,mlp,__prediction_only__,745,0
wine_quality,mlp,__prediction_only__,1529,0
wine_quality,mlp,__prediction_only__,683,0
wine_quality,mlp,__prediction_only__,381,0
wine_quality,mlp,__prediction_only__,823,0
wine_quality,mlp,__prediction_only__,262,0
wine_quality,mlp,__prediction_only__,913,1
wine_quality,mlp,__prediction_only__,250,0
wine_quality,mlp,__prediction_only__,323,0
wine_quality,mlp,__prediction_only__,1258,0
wine_quality,mlp,__prediction_only__,222,0
wine_quality,mlp,__prediction_only__,419,0
wine_quality,mlp,__prediction_only__,1554,0
wine_quality,mlp,__prediction_only__,1083,0
wine_quality,mlp,__prediction_only__,1373,0
wine_quality,mlp,__prediction_only__,1303,0
wine_quality,mlp,__prediction_only__,946,1
wine_quality,mlp,__prediction_only__,557,0
wine_quality,mlp,__prediction_only__,99,0
wine_quality,mlp,__prediction_only__,449,0
wine_quality,mlp,__prediction_only__,1467,0
wine_quality,mlp,__prediction_only__,1029,0
wine_quality,mlp,__prediction_only__,459,0
wine_quality,mlp,__prediction_only__,1248,0
wine_quality,mlp,__prediction_only__,832,0
wine_quality,mlp,__prediction_only__,254,0
wine_quality,mlp,__prediction_only__,1142,0
wine_quality,mlp,__prediction_only__,735,0
wine_quality,mlp,__prediction_only__,14,0
wine_quality,mlp,__prediction_only__,235,0
wine_quality,mlp,__prediction_only__,78,0
wine_quality,mlp,__prediction_only__,402,0
wine_quality,mlp,__prediction_only__,107,0
wine_quality,mlp,__prediction_only__,967,0
wine_quality,mlp,__prediction_only__,613,0
wine_quality,mlp,__prediction_only__,1231,0
wine_quality,mlp,__prediction_only__,883,0
wine_quality,mlp,__prediction_only__,1275,0
wine_quality,mlp,__prediction_only__,948,1
wine_quality,mlp,__prediction_only__,1332,0
wine_quality,mlp,__prediction_only__,1208,0
wine_quality,mlp,__prediction_only__,21,0
wine_quality,mlp,__prediction_only__,383,0
wine_quality,mlp,__prediction_only__,862,0
wine_quality,mlp,__prediction_only__,30,0
wine_quality,mlp,__prediction_only__,458,0
wine_quality,mlp,__prediction_only__,1595,0
wine_quality,mlp,__prediction_only__,815,0
wine_quality,mlp,__prediction_only__,1161,0
wine_quality,mlp,__prediction_only__,604,0
wine_quality,mlp,__prediction_only__,926,0
wine_quality,mlp,__prediction_only__,1400,0
wine_quality,mlp,__prediction_only__,352,0
wine_quality,mlp,__prediction_only__,310,0
wine_quality,mlp,__prediction_only__,751,0
wine_quality,mlp,__prediction_only__,543,0
wine_quality,mlp,__prediction_only__,619,0
wine_quality,mlp,__prediction_only__,296,0
wine_quality,mlp,__prediction_only__,1295,0
wine_quality,mlp,__prediction_only__,1245,0
wine_quality,mlp,__prediction_only__,1055,0
wine_quality,mlp,__prediction_only__,334,0
wine_quality,mlp,__prediction_only__,131,0
wine_quality,mlp,__prediction_only__,490,0
wine_quality,mlp,__prediction_only__,908,0
wine_quality,mlp,__prediction_only__,774,0
wine_quality,mlp,__prediction_only__,631,0
wine_quality,mlp,__prediction_only__,247,0
wine_quality,mlp,__prediction_only__,1030,0
wine_quality,mlp,__prediction_only__,1587,0
wine_quality,mlp,__prediction_only__,636,0
wine_quality,mlp,__prediction_only__,1532,0
wine_quality,mlp,__prediction_only__,187,0
wine_quality,mlp,__prediction_only__,1165,0
wine_quality,mlp,__prediction_only__,9,0
wine_quality,mlp,__prediction_only__,1483,0
wine_quality,mlp,__prediction_only__,1064,0
wine_quality,mlp,__prediction_only__,940,1
wine_quality,mlp,__prediction_only__,792,0
wine_quality,mlp,__prediction_only__,1134,1
wine_quality,mlp,__prediction_only__,780,0
wine_quality,mlp,__prediction_only__,1367,0
wine_quality,mlp,__prediction_only__,287,0
wine_quality,mlp,__prediction_only__,1190,0
wine_quality,mlp,__prediction_only__,824,0
wine_quality,mlp,__prediction_only__,457,0
wine_quality,mlp,__prediction_only__,356,0
wine_quality,mlp,__prediction_only__,1020,0
wine_quality,mlp,__prediction_only__,109,0
wine_quality,mlp,__prediction_only__,34,0
wine_quality,mlp,__prediction_only__,1489,0
wine_quality,mlp,__prediction_only__,671,0
wine_quality,mlp,__prediction_only__,698,0
wine_quality,mlp,__prediction_only__,91,0
wine_quality,mlp,__prediction_only__,155,0
wine_quality,mlp,__prediction_only__,1138,0
wine_quality,mlp,__prediction_only__,76,0
wine_quality,mlp,__prediction_only__,531,0
wine_quality,mlp,__prediction_only__,440,1
wine_quality,mlp,__prediction_only__,737,0
wine_quality,mlp,__prediction_only__,1201,0
wine_quality,mlp,__prediction_only__,86,0
wine_quality,mlp,__prediction_only__,858,0
wine_quality,mlp,__prediction_only__,1072,0
wine_quality,mlp,__prediction_only__,1285,0
wine_quality,mlp,__prediction_only__,22,0
wine_quality,mlp,__prediction_only__,756,0
wine_quality,mlp,__prediction_only__,98,0
wine_quality,mlp,__prediction_only__,570,0
wine_quality,mlp,__prediction_only__,797,0
wine_quality,mlp,__prediction_only__,148,0
wine_quality,mlp,__prediction_only__,859,0
wine_quality,mlp,__prediction_only__,5,0
